,Unnamed: 0,Event,Time,Port,Vessel,VesselType
313,313,Departure,2019-12-08 15:24,SAGUNTO,VB SONADOR [ES],tug
314,314,Arrival,2019-12-08 15:24,KLAIPEDA,ATHENA SEAWAYS [LT],passenger
315,315,Arrival,2019-12-08 15:24,KERKYRA,IONAS [GR],passenger
316,316,Departure,2019-12-08 15:24,SALAMINA,IOANNIS-SOPHIA K [GR],passenger
317,317,Arrival,2019-12-08 15:24,DUISBURG,HENRI-R [DE],undefined
318,318,Arrival,2019-12-08 15:24,WIJK BIJ DUURSTEDE,AQUA VITA [NL],tanker
319,319,Arrival,2019-12-08 15:24,MONDORF,CHRISTOPHORUS [DE],undefined
320,320,Arrival,2019-12-08 15:24,KARLSKRONA,YXLAN [SE],passenger
321,321,Arrival,2019-12-08 15:23,WIJNEGEM,ERTEPELLER [BE],cargo
322,322,Arrival,2019-12-08 15:23,EEMSHAVEN,LYRA (PILOTS) [NL],tug
323,323,Departure,2019-12-08 15:23,BATON ROUGE,CHARLES CUTHBERT [US],tug
324,324,Departure,2019-12-08 15:23,DELFSHAVEN,MSTX 14 [NL],high speed
325,325,Departure,2019-12-08 15:23,AMSTERDAM,PONT 6 [NL],passenger
326,326,Departure,2019-12-08 15:23,QUEBEC,LOMER GOUIN [CA],cargo
327,327,Arrival,2019-12-08 15:23,FUJAIRAH,TRANSPORTER [AE],tug
328,328,Departure,2019-12-08 15:23,GEESTHACHT,TMS MEGANTIC [DE],undefined
329,329,Departure,2019-12-08 15:23,LISBOA,CAMPOLIDE [PT],passenger
330,330,Departure,2019-12-08 15:23,NORDSKAGET,RO FJELL [NO],fishing
331,331,Arrival,2019-12-08 15:23,DAPITAN,LITE FERRY30 [PH],undefined
332,332,Arrival,2019-12-08 15:23,MISTEN,ROESUND [NO],passenger
333,333,Arrival,2019-12-08 15:23,ROESELARE,MOVIMENTO [BE],cargo
334,334,Departure,2019-12-08 15:23,ROTTERDAM WAALHAVEN,MSTX 9 [NL],high speed
335,335,Arrival,2019-12-08 15:23,TUNO,TUNOEFAERGEN [DK],passenger
336,336,Departure,2019-12-08 15:23,CHEVRON SF,KEEGAN FOSS [US],tug
337,337,Departure,2019-12-08 15:23,CHERRY POINT,NANUQ [US],tug
338,338,Arrival,2019-12-08 15:23,USHUAIA,YAGHAN [AR],undefined
339,339,Arrival,2019-12-08 15:23,LONDON,STORM CLIPPER [GB],high speed
340,340,Arrival,2019-12-08 15:23,AMAGASAKINISHINOMIYA,IMAFUKU [JP],cargo
341,341,Departure,2019-12-08 15:23,STAVANGER,FJORDDROTT [NO],high speed
342,342,Departure,2019-12-08 15:23,ROTTERDAM WAALHAVEN,AQUA SHUTTLE [NL],passenger
343,343,Departure,2019-12-08 15:23,KRIMPEN,SCHIE [NL],passenger
344,344,Arrival,2019-12-08 15:23,LAVERA,NORTHSEA BETA [FR],tanker
345,345,Arrival,2019-12-08 15:23,KUSADASI,MEANDER EXPRESS [TR],passenger
346,346,Arrival,2019-12-08 15:23,STADERSAND,GEO GRAPH [DE],cargo
347,347,Departure,2019-12-08 15:23,BIRKENHEAD,SNOWDROP [GB],passenger
348,348,Departure,2019-12-08 15:23,HALSA,SVANOY [NO],passenger
349,349,Arrival,2019-12-08 15:23,MOMBASA,KWALE [KE],passenger
350,350,Arrival,2019-12-08 15:23,MUSAFFAH,ESNAAD  230 [AE],tug
351,351,Departure,2019-12-08 15:23,MAASVLAKTE - ROTTERDAM,11120554 [NL],
352,352,Arrival,2019-12-08 15:23,GIBRALTAR,MARA [GI],yacht
353,353,Arrival,2019-12-08 15:23,PERAMA,ADRIANA [GR],tanker
354,354,Arrival,2019-12-08 15:23,ROTTERDAM CENTRUM,MSTX 15 [NL],undefined
355,355,Departure,2019-12-08 15:23,SOUTHAMPTON,RED JET 4 [GB],high speed
356,356,Departure,2019-12-08 15:23,NOVOROSSIYSK,FLAGMAN [RU],tanker
357,357,Departure,2019-12-08 15:23,MACAU,UNIVERSAL MK2013 [MO],high speed
358,358,Arrival,2019-12-08 15:23,SJAELLANDS ODDE,EXPRESS 4 [DK],high speed
359,359,Arrival,2019-12-08 15:23,ASTORIA,CONNOR FOSS [US],yacht
360,360,Departure,2019-12-08 15:23,LEMBAR,KMP. WIHAN BAHARI [ID],passenger
361,361,Departure,2019-12-08 15:23,ANTWERP,SMYLTINE [BE],passenger
362,362,Departure,2019-12-08 15:23,LEMWERDER,LEMWERDER2 [DE],passenger
363,363,Arrival,2019-12-08 15:23,EDMONDS,WSF SPOKANE [US],passenger
364,364,Departure,2019-12-08 15:23,VAXHOLM,NINA [SE],passenger
365,365,Departure,2019-12-08 15:23,KRISTIANSUND,TYRHAUG [NO],high speed
366,366,Arrival,2019-12-08 15:23,ROTTERDAM WAALHAVEN,EN AVANT 30 [NL],tug
367,367,Arrival,2019-12-08 15:23,DAR ES SALAAM,ULINZI 1 [TZ],high speed
368,368,Departure,2019-12-08 15:23,RIO,AGIA VARVARA [GR],passenger
369,369,Departure,2019-12-08 15:23,CRISTOBAL,LENGUADO [PA],tug
370,370,Departure,2019-12-08 15:23,BOTLEK - ROTTERDAM,HEBO-CAT 9 [NL],tug
371,371,Arrival,2019-12-08 15:23,SOZOPOL,SV.NIKOLA [BG],fishing
372,372,Arrival,2019-12-08 15:23,BLUMENTHAL,STEDINGEN [DE],passenger
373,373,Departure,2019-12-08 15:23,BREMERTON,WSF KALEETAN [US],passenger
374,374,Arrival,2019-12-08 15:23,LIVORNO,MSC CORDOBA [IT],cargo
375,375,Arrival,2019-12-08 15:23,BUCEO,PILOT BOAT SEA PILOT [UY],tug
376,376,Departure,2019-12-08 15:22,MOSS,BASTO II [NO],passenger
377,377,Arrival,2019-12-08 15:22,PORTSMOUTH,SOLENT CAT [GB],passenger
378,378,Arrival,2019-12-08 15:22,NEW LONDON,CAPE HENLOPEN [US],passenger
379,379,Arrival,2019-12-08 15:22,BRUNSBUETTEL,FAEHRE BERLIN [DE],passenger
380,380,Arrival,2019-12-08 15:22,RHEINAU,ALTRIP MANNHEIM [DE],undefined
381,381,Departure,2019-12-08 15:22,REGENSBURG,TRAVELMARVEL JEWEL [DE],undefined
382,382,Departure,2019-12-08 15:22,GIBRALTAR,GIBPILOTS SOVEREIGN [GI],tug
383,383,Departure,2019-12-08 15:22,KETAPANG,KMP.NIAGA FERRY II [ID],passenger
384,384,Departure,2019-12-08 15:22,ROTTERDAM,SMIT HUDSON [NL],tug
385,385,Departure,2019-12-08 15:22,DUSSELDORF,WSP 2 [DE],undefined
386,386,Departure,2019-12-08 15:22,MARCUS HOOK,MCALLISTER RESPONDER [US],tug
387,387,Arrival,2019-12-08 15:22,ST PETERSBURG,HANSA ASIA [RU],cargo
388,388,Arrival,2019-12-08 15:22,DOS BOCAS,ISLA GRANDE [MX],undefined
389,389,Arrival,2019-12-08 15:22,IJMUIDEN,ORANGE STRAIT [NL],cargo
390,390,Arrival,2019-12-08 15:22,HEDEN (HONO),ADA [SE],passenger
391,391,Departure,2019-12-08 15:22,ROTTERDAM WAALHAVEN,CHRISTINA [NL],passenger
392,392,Departure,2019-12-08 15:22,KRAGERO,KRAGERO [NO],passenger
393,393,Arrival,2019-12-08 15:22,MCINROY,SOUND OF SOAY [GB],passenger
394,394,Departure,2019-12-08 15:22,COLON 2000,DWS LINDA [PA],yacht
395,395,Departure,2019-12-08 15:22,OSAKA,SHOHO [JP],tug
396,396,Departure,2019-12-08 15:22,STOCKHOLM,BALLERINA [SE],passenger
397,397,Arrival,2019-12-08 15:22,GELKENES,ZILVERSTAD [NL],passenger
398,398,Arrival,2019-12-08 15:22,MALABO,370053000 [GQ],undefined
399,399,Arrival,2019-12-08 15:22,DE TOUR VILLAGE,DRUMMOND ISLANDER IV [US],passenger
400,400,Arrival,2019-12-08 15:22,CHACAO,CRUZ DEL SUR III [CL],passenger
401,401,Departure,2019-12-08 15:22,GEITANGER,FJELLGAR [NO],passenger
402,402,Departure,2019-12-08 15:22,KISAR,SABUK NUSANTARA 104 [ID],passenger
403,403,Departure,2019-12-08 15:22,SINGAPORE,NOBLE GUARD [SG],tug
404,404,Arrival,2019-12-08 15:22,SVANESUND,SVANHILD [SE],passenger
405,405,Arrival,2019-12-08 15:22,BAIE COMEAU,L'ANSE DU MOULIN [CA],tug
406,406,Departure,2019-12-08 15:22,OOSTENDE,WESTDIEP PILOT [BE],tug
407,407,Departure,2019-12-08 15:22,DUSSELDORF,NAJADE [DE],cargo
408,408,Departure,2019-12-08 15:22,HEDEN (HONO),MARIE [SE],passenger
409,409,Departure,2019-12-08 15:22,CHEVRON SF,DELTA LINDSEY [US],tug
410,410,Departure,2019-12-08 15:22,SINGAPORE,LES SWIFT [SG],passenger
411,411,Departure,2019-12-08 15:22,BRUNSBUETTEL,FAEHRE BRESLAU [DE],passenger
412,412,Departure,2019-12-08 15:22,KAINAN,NO25HOUSHOMARU [JP],cargo
413,413,Arrival,2019-12-08 15:22,FAUNTLEROY,WSF KITSAP [US],passenger
414,414,Arrival,2019-12-08 15:22,ITAJAI,SMIT TUCANO [BR],tug
415,415,Departure,2019-12-08 15:22,KERAMOTI,THASSOS I [GR],passenger
416,416,Arrival,2019-12-08 15:22,JUNEAU (AK),ADMIRALTY WIND [US],passenger
417,417,Arrival,2019-12-08 15:22,KERAMOTI,AGIOS ATHANASIOS [GR],passenger
418,418,Departure,2019-12-08 15:22,SINGAPORE,EVER BIRTH [SG],cargo
419,419,Arrival,2019-12-08 15:22,PORT ALBERNI,DONMAREL [CA],tug
420,420,Departure,2019-12-08 15:22,YANTIAN,SANTA BETTINA [CN],cargo
421,421,Departure,2019-12-08 15:22,COWES,RED JET 7 [GB],high speed
422,422,Departure,2019-12-08 15:22,YANTIAN,YAN TIAN TUO 15 [CN],tug
423,423,Departure,2019-12-08 15:22,PORTO DO ACU,STARNAV CYGNUS [BR],cargo
424,424,Departure,2019-12-08 15:22,RAUMA,SPARK [FI],tug
425,425,Arrival,2019-12-08 15:22,SYKKYLVEN,ROVDEHORN [NO],passenger
426,426,Departure,2019-12-08 15:22,LA PLATA,ANTARES [AR],tug
427,427,Arrival,2019-12-08 15:22,BROWNSVILLE,GO DISCOVERY [US],undefined
428,428,Departure,2019-12-08 15:21,MALONGO,BAKAMATIDE [AO],undefined
429,429,Arrival,2019-12-08 15:21,ARGOSTOLI,AGIOS GERASIMOS II [GR],passenger
430,430,Arrival,2019-12-08 15:21,NIEUWEGEIN,VOTRANS [NL],cargo
431,431,Departure,2019-12-08 15:21,PORT ALLEN,JESSICA RYAN [US],tug
432,432,Departure,2019-12-08 15:21,MALMO,PILOT 741 SE [SE],tug
433,433,Arrival,2019-12-08 15:21,SHOTLEY,SUNBEAT VI [GB],yacht
434,434,Arrival,2019-12-08 15:21,RADICATEL,FRATELLINO [FR],cargo
435,435,Departure,2019-12-08 15:21,MONGSTAD ,MELDERSKIN [NO],passenger
436,436,Departure,2019-12-08 15:21,BREVIK,OKSOY [NO],passenger
437,437,Arrival,2019-12-08 15:21,DELFSHAVEN,MSTX 14 [NL],high speed
438,438,Arrival,2019-12-08 15:21,FREDERIKSHAVN,MARGRETE LAESOE [DK],passenger
439,439,Departure,2019-12-08 15:21,PUERTO DE LA ESTACA,VOLCAN DE TIRAJANA [ES],high speed
440,440,Departure,2019-12-08 15:21,HJELMELAND,HARDINGEN [NO],passenger
441,441,Arrival,2019-12-08 15:21,PORT BLAIR,M.V.SHER_ALLI [IN],undefined
442,442,Arrival,2019-12-08 15:21,ROTTERDAM,KRVE 59 [NL],high speed
443,443,Arrival,2019-12-08 15:21,FREEPORT (TX),DENIA [US],tug
444,444,Departure,2019-12-08 15:21,AL DUQM,FAIRWAY [OM],tug
445,445,Departure,2019-12-08 15:21,ANACORTES,ORIANA [US],yacht
446,446,Departure,2019-12-08 15:21,MONTEVIDEO,ALFREDO LABADIE [UY],tug
447,447,Departure,2019-12-08 15:21,TERSCHELLING,TIGER [NL],passenger
448,448,Arrival,2019-12-08 15:21,BERGEN,KOMMANDOR [NO],tug
449,449,Arrival,2019-12-08 15:21,VAL-DE-LA-HAYE,BAC 18 [FR],undefined
450,450,Departure,2019-12-08 15:21,KEELUNG,NEW CHALLENGE [TW],tanker
451,451,Arrival,2019-12-08 15:21,POINTE NOIRE,LEKETI [CG],tug
452,452,Arrival,2019-12-08 15:21,WILHELMSHAVEN,STELLA [DE],tug
453,453,Arrival,2019-12-08 15:21,AARHUS,EXPRESS 3 [DK],high speed
454,454,Departure,2019-12-08 15:21,DALSBRUK,STELLA [FI],passenger
455,455,Arrival,2019-12-08 15:21,BRAMSCHE,LABE 24 [DE],cargo
456,456,Arrival,2019-12-08 15:21,LIPARI,AMMARI' [IT],high speed
457,457,Arrival,2019-12-08 15:21,PROCIDA ,ROSA D ABUNDO [IT],passenger
458,458,Departure,2019-12-08 15:21,SLAGEN,JOHN [NO],tug
459,459,Arrival,2019-12-08 15:21,CASABLANCA,VEGA MARS [MA],cargo
460,460,Departure,2019-12-08 15:21,KELANIS,MBP-3229 [ID],tug
461,461,Arrival,2019-12-08 15:21,VOLENDAM,VOLENDAM [NL],passenger
462,462,Departure,2019-12-08 15:21,PETIT COURONNE,BAC 18 [FR],undefined
463,463,Departure,2019-12-08 15:21,ROTTERDAM CENTRUM,MSTX 15 [NL],undefined
464,464,Arrival,2019-12-08 15:21,MERAK,KMP ELYSIA [ID],passenger
465,465,Arrival,2019-12-08 15:20,HORTEN,VEDEROY [NO],passenger
466,466,Departure,2019-12-08 15:20,MERAK,KM.MUSTIKA KENCANA [ID],undefined
467,467,Arrival,2019-12-08 15:20,NEW ORLEANS,WAR EMBLEM [US],yacht
468,468,Departure,2019-12-08 15:20,TENERIFE,ONWA11507 [ES],yacht
469,469,Departure,2019-12-08 15:20,HOUSTON,MAGNOLIA [US],tug
470,470,Departure,2019-12-08 15:20,ROTTERDAM,SMIT SCHELDE [NL],tug
471,471,Arrival,2019-12-08 15:20,GENT,SCALDIS [BE],cargo
472,472,Arrival,2019-12-08 15:20,STRANGFORD,STRANGFORD 2 [GB],passenger
473,473,Departure,2019-12-08 15:20,MOLDE,MOLDEFJORD [NO],passenger
474,474,Arrival,2019-12-08 15:20,YANBU,MAERSK TIMARU [SA],tanker
475,475,Arrival,2019-12-08 15:20,NOVI SAD,JASTREBAC I + 6 BARZ [RS],undefined
476,476,Arrival,2019-12-08 15:20,MELBU,TYSFJORD [NO],passenger
477,477,Arrival,2019-12-08 15:20,SETUBAL,PATO REAL [PT],passenger
478,478,Arrival,2019-12-08 15:20,MADRE DE DEUS,STENA CONQUEROR [BR],tanker
479,479,Arrival,2019-12-08 15:20,LA BOUILLE,BAC 20 [FR],passenger
480,480,Arrival,2019-12-08 15:20,SOYO,SURFER 1893 [AO],passenger
481,481,Arrival,2019-12-08 15:20,TAU,HARDANGER [NO],passenger
482,482,Departure,2019-12-08 15:20,KOLHATTAN,SVANHILD [SE],passenger
483,483,Arrival,2019-12-08 15:20,TUTICORIN,BUNUN HERO [IN],cargo
484,484,Departure,2019-12-08 15:20,ROTTERDAM CENTRUM,MSTX 8 [NL],high speed
485,485,Arrival,2019-12-08 15:20,MAASVLAKTE - ROTTERDAM,11120554 [NL],
486,486,Arrival,2019-12-08 15:20,AMSTERDAM,SINGA [NL],cargo
487,487,Departure,2019-12-08 15:20,HALS,EGENSE [DK],passenger
488,488,Departure,2019-12-08 15:20,VASHON ISLAND,WSF CATHLAMET [US],passenger
489,489,Departure,2019-12-08 15:20,SINGAPORE,AGILE [SG],undefined
490,490,Departure,2019-12-08 15:20,SINGAPORE,STAR DIAMOND TG76 [SG],tug
491,491,Departure,2019-12-08 15:20,PERAMA,PARALOS [GR],passenger
492,492,Departure,2019-12-08 15:20,NEUWIED,DEUTSCHES ECK [DE],passenger
493,493,Arrival,2019-12-08 15:20,ZAANDAM,DB KYLE [NL],cargo
494,494,Arrival,2019-12-08 15:20,DELFZIJL,EEMSPOORT [NL],undefined
495,495,Arrival,2019-12-08 15:20,TALLINN OLD HARBOR,FINLANDIA [EE],passenger
496,496,Arrival,2019-12-08 15:20,DEN HELDER,DOKTER WAGEMAKER [NL],passenger
497,497,Arrival,2019-12-08 15:20,LOS CRISTIANOS,BENCHIJIGUA EXPRESS [ES],passenger
498,498,Arrival,2019-12-08 15:20,AEROSKOBING,MARSTAL [DK],passenger
499,499,Arrival,2019-12-08 15:20,ONDARROA,SALVAMAR  ORION [ES],tug
