,Event,Time,Port,Vessel,VesselType
63,Departure,2019-12-08 15:30,PROCIDA ,NAIADE [IT],/icons/icon6_511.png
64,Arrival,2019-12-08 15:30,MERAK,SMS MULAWARMAN [ID],/icons/icon6_511.png
65,Arrival,2019-12-08 15:30,GLADSTONE,SL QUOIN ISLAND [AU],/icons/icon3_511.png
66,Departure,2019-12-08 15:30,KREFELD,VOLANTIS [DE],/icons/icon8_511.png
67,Departure,2019-12-08 15:30,TREMESTIERI,ZANCLE [IT],/icons/icon6_511.png
68,Departure,2019-12-08 15:30,BONNY,SMIT DIARE [NG],/icons/icon3_511.png
69,Departure,2019-12-08 15:30,ISLA MUJERES,ULTRACARGA III A [MX],/icons/icon7_511.png
70,Arrival,2019-12-08 15:30,KNIPPLA,ULRIKA [SE],/icons/icon6_511.png
71,Departure,2019-12-08 15:30,SINGAPORE,STK2 [SG],/icons/icon9_511.png
72,Arrival,2019-12-08 15:30,EMDEN,KEY BORA [DE],/icons/icon8_511.png
73,Arrival,2019-12-08 15:30,WANSSUM,BALANCE [NL],/icons/icon7_511.png
74,Departure,2019-12-08 15:30,MANNHEIM,TILL [DE],/icons/icon8_511.png
75,Departure,2019-12-08 15:29,HORTEN,BASTO IV [NO],/icons/icon6_511.png
76,Departure,2019-12-08 15:29,ROTTERDAM CENTRUM,MSTX 14 [NL],/icons/icon4_511.png
77,Departure,2019-12-08 15:29,VINEYARD HAVEN,SHERIFF S-300 [US],/icons/icon3_511.png
78,Departure,2019-12-08 15:29,WISCHHAFEN,ERNST STURM [DE],/icons/icon6_511.png
79,Arrival,2019-12-08 15:29,ROTTERDAM CENTRUM,MSTX 12 [NL],/icons/icon4_511.png
80,Departure,2019-12-08 15:29,PORT HARDY,GEEMIA JOYE [CA],/icons/icon10_511.png
81,Arrival,2019-12-08 15:29,KRISTIANSUND,OYVAKT [NO],/icons/icon4_511.png
82,Arrival,2019-12-08 15:29,LEMONT,WILLIAM C [US],/icons/icon3_511.png
83,Departure,2019-12-08 15:29,MILLINGEN AAN DE RIJN,OSTARA [NL],/icons/icon7_511.png
84,Arrival,2019-12-08 15:29,TERNEUZEN,WILLEM-LOURENS [NL],/icons/icon0_511.png
85,Arrival,2019-12-08 15:29,SANTORINI,BLUE STAR PATMOS [GR],/icons/icon6_511.png
86,Departure,2019-12-08 15:29,NEW YORK,HB 115 [US],/icons/icon6_511.png
87,Arrival,2019-12-08 15:29,FREEPORT (TX),CS ZEPHYR [US],/icons/icon8_511.png
88,Arrival,2019-12-08 15:29,NAPOLI,ISOLA DI PROCIDA [IT],/icons/icon6_511.png
89,Arrival,2019-12-08 15:29,HALSA,ROMSDAL [NO],/icons/icon6_511.png
90,Arrival,2019-12-08 15:29,HORTEN,BASTO VI [NO],/icons/icon6_511.png
91,Departure,2019-12-08 15:29,SUNOCO LOGISTICS,BUCCANEER [US],/icons/icon3_511.png
92,Arrival,2019-12-08 15:29,TYNE,BOUNTIFUL BF79 [GB],/icons/icon10_511.png
93,Arrival,2019-12-08 15:29,BEAUMONT,KYLIE DUPRE [US],/icons/icon9_511.png
94,Departure,2019-12-08 15:29,BONNY,CATFLASH 4 [NG],/icons/icon0_511.png
95,Departure,2019-12-08 15:29,HALHJEM,LYSOY [NO],/icons/icon6_511.png
96,Departure,2019-12-08 15:29,RAMSGATE,ESTUARY ELITE [GB],/icons/icon3_511.png
97,Departure,2019-12-08 15:29,FESTOYA,STORFJORD [NO],/icons/icon6_511.png
98,Departure,2019-12-08 15:29,CHANNAHON,CHANNAHON [US],/icons/icon3_511.png
99,Arrival,2019-12-08 15:29,ROTTERDAM CENTRUM,MSTX 15 [NL],/icons/icon0_511.png
100,Departure,2019-12-08 15:29,KNAPPSKOG,FJELLGAR [NO],/icons/icon6_511.png
101,Departure,2019-12-08 15:29,SLUISKIL,PLUTO [NL],/icons/icon8_511.png
102,Departure,2019-12-08 15:29,BARREIRO,DAMIAO DE GOES [PT],/icons/icon4_511.png
103,Arrival,2019-12-08 15:29,BOKENAS,TELLUS [SE],/icons/icon6_511.png
104,Arrival,2019-12-08 15:29,SOUTHWORTH,WSF CATHLAMET [US],/icons/icon6_511.png
